Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"LC","Land Cover","125","Liechtenstein","5008","Area from CCI_LC","6982","Coastal water bodies and intertidal areas","1993","1993","1000 ha","","NV","Data not available"
"LC","Land Cover","125","Liechtenstein","5008","Area from CCI_LC","6982","Coastal water bodies and intertidal areas","1994","1994","1000 ha","","NV","Data not available"
"LC","Land Cover","125","Liechtenstein","5008","Area from CCI_LC","6982","Coastal water bodies and intertidal areas","1995","1995","1000 ha","","NV","Data not available"
"LC","Land Cover","125","Liechtenstein","5008","Area from CCI_LC","6982","Coastal water bodies and intertidal areas","1996","1996","1000 ha","","NV","Data not available"
"LC","Land Cover","125","Liechtenstein","5008","Area from CCI_LC","6982","Coastal water bodies and intertidal areas","1997","1997","1000 ha","","NV","Data not available"
"LC","Land Cover","125","Liechtenstein","5008","Area from CCI_LC","6982","Coastal water bodies and intertidal areas","1998","1998","1000 ha","","NV","Data not available"
"LC","Land Cover","125","Liechtenstein","5008","Area from CCI_LC","6982","Coastal water bodies and intertidal areas","1999","1999","1000 ha","","NV","Data not available"
"LC","Land Cover","125","Liechtenstein","5008","Area from CCI_LC","6982","Coastal water bodies and intertidal areas","2000","2000","1000 ha","","NV","Data not available"
"LC","Land Cover","125","Liechtenstein","5008","Area from CCI_LC","6982","Coastal water bodies and intertidal areas","2001","2001","1000 ha","","NV","Data not available"
"LC","Land Cover","125","Liechtenstein","5008","Area from CCI_LC","6982","Coastal water bodies and intertidal areas","2002","2002","1000 ha","","NV","Data not available"
"LC","Land Cover","125","Liechtenstein","5008","Area from CCI_LC","6982","Coastal water bodies and intertidal areas","2003","2003","1000 ha","","NV","Data not available"
"LC","Land Cover","125","Liechtenstein","5008","Area from CCI_LC","6982","Coastal water bodies and intertidal areas","2004","2004","1000 ha","","NV","Data not available"
"LC","Land Cover","125","Liechtenstein","5008","Area from CCI_LC","6982","Coastal water bodies and intertidal areas","2005","2005","1000 ha","","NV","Data not available"
"LC","Land Cover","125","Liechtenstein","5008","Area from CCI_LC","6982","Coastal water bodies and intertidal areas","2006","2006","1000 ha","","NV","Data not available"
"LC","Land Cover","125","Liechtenstein","5008","Area from CCI_LC","6982","Coastal water bodies and intertidal areas","2007","2007","1000 ha","","NV","Data not available"
"LC","Land Cover","125","Liechtenstein","5008","Area from CCI_LC","6982","Coastal water bodies and intertidal areas","2008","2008","1000 ha","","NV","Data not available"
"LC","Land Cover","125","Liechtenstein","5008","Area from CCI_LC","6982","Coastal water bodies and intertidal areas","2009","2009","1000 ha","","NV","Data not available"
"LC","Land Cover","125","Liechtenstein","5008","Area from CCI_LC","6982","Coastal water bodies and intertidal areas","2010","2010","1000 ha","","NV","Data not available"
"LC","Land Cover","125","Liechtenstein","5008","Area from CCI_LC","6982","Coastal water bodies and intertidal areas","2011","2011","1000 ha","","NV","Data not available"
"LC","Land Cover","125","Liechtenstein","5008","Area from CCI_LC","6982","Coastal water bodies and intertidal areas","2012","2012","1000 ha","","NV","Data not available"
"LC","Land Cover","125","Liechtenstein","5008","Area from CCI_LC","6982","Coastal water bodies and intertidal areas","2013","2013","1000 ha","","NV","Data not available"
"LC","Land Cover","125","Liechtenstein","5008","Area from CCI_LC","6982","Coastal water bodies and intertidal areas","2014","2014","1000 ha","","NV","Data not available"
"LC","Land Cover","125","Liechtenstein","5008","Area from CCI_LC","6982","Coastal water bodies and intertidal areas","2015","2015","1000 ha","","NV","Data not available"
"LC","Land Cover","211","Switzerland","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2001","2001","1000 ha","134.0114","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2002","2002","1000 ha","134.0329","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2003","2003","1000 ha","134.0543","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2004","2004","1000 ha","134.1617","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2005","2005","1000 ha","134.269","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2006","2006","1000 ha","134.3978","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2007","2007","1000 ha","134.6125","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2008","2008","1000 ha","134.6983","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5007","Area from MODIS","6970","Artificial surfaces (including urban and associated areas)","2009","2009","1000 ha","134.8056","FC","Calculated data"
