Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RP","Pesticides Use","11","Austria","5157","Agricultural Use","1309","Insecticides","2011","2011","tonnes","293","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RP","Pesticides Use","11","Austria","5157","Agricultural Use","1309","Insecticides","2012","2012","tonnes","280.3","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RP","Pesticides Use","11","Austria","5157","Agricultural Use","1309","Insecticides","2013","2013","tonnes","282.5","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RP","Pesticides Use","11","Austria","5157","Agricultural Use","1309","Insecticides","2014","2014","tonnes","266.9","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RP","Pesticides Use","11","Austria","5157","Agricultural Use","1309","Insecticides","2015","2015","tonnes","230.3","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RP","Pesticides Use","11","Austria","5157","Agricultural Use","1309","Insecticides","2016","2016","tonnes","250.6","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RP","Pesticides Use","11","Austria","5157","Agricultural Use","1309","Insecticides","2017","2017","tonnes","1231.7","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RP","Pesticides Use","11","Austria","5157","Agricultural Use","1310","Insecticides – Chlorinated Hydrocarbons","2014","2014","tonnes","0","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RP","Pesticides Use","11","Austria","5157","Agricultural Use","1310","Insecticides – Chlorinated Hydrocarbons","2015","2015","tonnes","0","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RP","Pesticides Use","11","Austria","5157","Agricultural Use","1310","Insecticides – Chlorinated Hydrocarbons","2016","2016","tonnes","0","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RP","Pesticides Use","11","Austria","5157","Agricultural Use","1310","Insecticides – Chlorinated Hydrocarbons","2017","2017","tonnes","0","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
